x,y,type
-1393.80926831,-47.9156265074,2
-401.26871858,-709.339510258,2
-715.58618251,152.525485337,2
-651.627843638,-294.979120892,2
-540.14274777,-680.990062745,2
-335.127782129,-478.430190519,2
-209.17690039,-556.537537772,2
26.7676888096,-440.651481145,2
-1063.36948548,147.823695162,2
-563.799319518,137.482505904,2
-162.214429967,-362.613181917,2
-410.604176062,-511.396630138,2
-250.329431775,-480.654623219,2
-405.029391662,-586.668628465,2
-834.845063303,198.368542728,2
-233.907791499,-507.313005173,2
-760.63574771,-128.003745135,2
-179.364726074,-520.121666409,2
-1443.46268491,-84.5304198744,2
-578.846471701,-602.501515793,2
-825.460366007,147.579239344,2
-966.441225565,28.7342422202,2
-841.933174457,141.666664916,2
147.050281008,-454.423599326,2
-1082.15513312,-32.6647348298,2
-170.444848886,-610.895898876,2
-1192.63337794,17.7886697699,2
-325.61699945,-491.827954473,2
-535.035809154,-584.043827808,2
-1253.05890166,41.3540760796,2
-516.984282229,-535.571740669,2
-1393.73524588,-62.0397112209,2
-1340.11120472,56.0238754807,2
-1261.32232271,77.416265824,2
-230.088205015,-372.3772897,2
-1268.8481176,-7.1254087678,2
-340.084592964,-451.091119203,2
-1344.76164103,3.7819449463,2
-974.891630606,162.313684088,2
-331.251755322,-507.895484089,2
36.4155345284,-446.513303825,2
-747.541089562,108.12050759,2
-1024.02897236,176.546183863,2
-4.12767660003,-386.91926895,2
-878.199037227,189.680217559,2
-489.256164596,-523.847975861,2
-92.4659437662,-371.469516457,2
-450.72999396,-521.383107831,2
-957.294949214,188.508013454,2
-1064.12669157,95.5832206584,2
-384.963361321,-501.379404856,2
49.0956581347,-448.910156407,2
-1419.9028998,-71.47898827,2
-132.129008916,-612.656018967,2
-152.264177746,-568.530920095,2
-137.644724602,-512.012879616,2
-1089.30287779,125.560125132,2
-848.725539735,-2.37042575871,2
-1044.99895163,171.68590545,2
-285.310512319,-444.934919331,2
243.230954549,-511.240953298,2
-291.954703003,-440.240318414,2
